org_id,org_name,descr,keywords
84,Hispanic American Student Association,"The purpose of the organization is to serve the university and surrounding community by emphasizing the culture, heritage, and traditions of the Hispanic American community at OU.","hispanic america, hispanic, culture, professional development"
85,Horror Movie Club,"Our club focuses on creating a relaxed, fun environmenet where you can connect with fellow Sooners who share a passion for movies.","movie, film, horror movies, social, recreational"
86,Human Factors and Ergonomics Society,"The organization is dedicated to the betterment of humankind through inclusive scientific inquiry and engineering applications at the interface of humans and their natural, residential, recreational, and vocational environments, with emphasis on enhancing performance, safety, and well-being at those interfaces.","ergonomics, engineering, community, stem"
87,India Student Association,India Student Association exists to bring together the various cultural diversities of Indian international students and celebrate it.,"Indian, cutlure, community"
88,Indigenous Art Forms,"Indigenous Art Forms offers a space on campus for students to practice, sustain, and revitalize various Indigenous Art Forms.","Art, Indigenous Art, Indigenous, culture"
89,Institute of Eletrical and Electronic Engineers,IEEE is a dynamic and inclusive organization dedicated to advancing technology and fostering professional development among engineering students.,"Eletrical Engineering, professional developemnt, engineering, stem"
90,Institute of Industrial Engineers,"To provide a communnity, network, and resources to Industrial and Systems Engineering students through events, both social, educational, and professional.","Industrial Engineering, engineering, stem, community, professional development"
91,International Students Club,"This club aims to provide opportunities for all international students to participate in social activities, community events, mentorship, and campus involvement.","international students, transfer students, community, social"
92,Investment Club at The University of Oklahoma,The Investment Club achieves mission is to foster growth with like-minded individuals. The investment club achieves this mission by providing students with numerous opportunities to learn about investing and gain practical experience in managing a portfolio.,"investing, finance, professional development, networking"
93,Japanese Club,Japanese Club is dedicated to serving our students that are interested in or learning japanese language.,"langauge, japanese, japan, culture"
94,"Kappa Delta Chi Sorority, Inc.","Kappa Delta Chi Sorority, Inc. is a sisterhood based on service to the community. This sisterhood has been nationally recognized as an organization that upholds the values of Unity, Honesty, Integrity, and Leadership.","sisterhood, fraternity, hispanic, greek life, community"
95,Korean Student Association,"We are a Korean cultural student organization that promotes Korean culture through cultural, social, political, and communtiy service events.","korean, culture, community service, community, diversity"
96,Leadership and Volunteerism,Leadership and Volunteerism provides educational programming and opportunities for students to make a difference.,"leadership, volunteerism, community, personal development, volunteering"
97,Linguistics Club,We enjoy talking about language with other interested people.,"language, social, voltuneerism"
98,Math Club,We are a society for the promotion of and appreciation for the beauty of mathematics.,"math, stem, social"
99,Model United Nations,We seek to understand the United Nations in a fun and engaging way. We imitate the work of the UN and aim to gain a deeper understanding of the work they do in the world.,"politics, activism, government, activism"
100,Music Club,"A community of students that enjoy music whether that be listening, talking about, playing, or learning about it.","music, social, recreational, instruments"
101,Muslim Student Association,"A Muslim organization on campus dedicated to empowering Muslim leaders, raising Islamic awareness and appreciation, and unifying students.","muslim, social, unite, friendly, community, cultural"
102,National Association of Black Journalists,An organization advocating for journalists of color. They provide journalists with programs and services needed to be successful within their field,"social, recreational, friendly, community, cultural"
103,National Council of Teachers of English,A professional student organization in the Jeannine Rainbolt College of Education aiming to create community among pre-service English teachers.,"professional, english, writing, teach, community"
104,National Gay Pilots Association,"The NGPA is the largest organization of lesbian, gay, bisexual, transgender, and queer aviation professionals and enthusiasts from around the world.","build, support, unite, gay, pilot, fly, community"
105,National Medical Device Make-A-Thon,A competition team dedicated to designing medical devices for OU 2025,"competition, medical, prosthetics, biomedical, engineer"
106,National Pan-Helenic Council,"A collaborative organization of nine historically African American, international Greek lettered fraternities and sororities","Frat, Sorority, community, greek, african"
107,National Society of Black Engineers,"The NSBE aims to increase the number of culturally responsible black engineers who excel academically, succeed professionally, and positively impact the community.","Black, culture, engineer, community, professional, academic"
108,Native American Law Student Association,An organization for law students interested in Native American law or Native American issues,"Native, culture, law, academic, community, professional"
109,Nautical ROTC,This organization encompasses the Naval RoTC company on the University of Oklahoma Campus.,"Navy, Nautical, ROTC, military, community, fitness"
110,Navigators,"An on-campus non-denominational Christian ministry with a program of small group bible study, large group fellowship both on campus and with a local church, and one-one-one evangelism, discipleship, and mentorship.","Christ, ministry, culture, community, jesus, bible"
111,Nepalese Student Association,Their mission is to enhance understanding of Nepal and promote peace and harmony among the various cultures within the University of Oklahoma,"culture, community, outreach, nepal"
112,Neurobiology Club,An inclusive community of students passionate about understanding the mysteries of neurobiology,"neuro, brain, science, inclusion, community"
113,OBI OUtreach,This organization works with Oklahoma Blood Institute to recruit donors and get students involved with blood donations,"blood, donation, recruit"
114,Obviously Unrehearsed Improv!,An OU Comedy troupe focused on recruiting and showing off. All members welcome and auditions are on a semester basis.,"Theater, theatre, improv, audition, comedy"
115,Office of Student Life,"The mission of Student Life is to guide students in realizing academic, professional and personal goals as they progress toward graduation and beyond","student, academic, professional, goals"
116,Okie Belles,"The purpose of Okie Belles is to advocate for sisterhood, leadership, and service. Our mission is to make a difference around us by planting the seeds of service for the community to reap the benefits.","community, leadership, sister, service, social"
117,Oklahoma Aspiring Educators Association,Oklahoma Aspiring Educators Association is a pre-professional organization of undergraduate and graduate students currently preparing for careers in education,"teaching, undergrad, graduate, education"
118,Oklahoma Intercollegiate Legislature,"A five-day mock legislative session in the Oklahoma State Capitol once a semester consisting of delegations from over twenty universities across the state. It also includes a journalism competition, a moot court competition and model executive branch","event, legislature, mock, journal, court"
119,Oklahoma Law Review,"The Review is published by a student editorial board, operating with the advice of faculty. The Review contains lead articles written by scholars and practitioners, as well as student notes and comments. Students may earn membership through achieving a high academic standing or being selected through a writing competition.","law, student, editorial, writing"
120,Oklahoma Votes,"Oklahoma Votes is a campus-wide initiative to encourage students to register to vote and to participate in local, state, and national elections.","vote, student, government, register"
121,Oklahoma Weather Lab,"The Oklahoma Weather Lab is OUs student forecasting organization. Here, students get hands on weather forecasting experience at our nightly forecast shifts 6-8p M-F.","weather, meteorology, forecast, OWL, storm"
122,Omani Students Association,"OSAs function is to raise awareness in the Norman community in general, and OU community in particular about Omans rich cultural heritage, traditional values, prevailing local customs and deep-rooted history","culture, community, student-life, international"
123,Orthodox Christian Fellowship,OCF is the official collegiate campus ministry program under the Assembly of Canonical Orthodox Bishops of the United States of America. The goal of OCF is to connect Orthodox college students through social events.,"Christ, fellowship, ministry, jesus, social, beliefs"
124,OU Badminton Club,The OU Badminton Club holds normal practices in the Sarkeys Fitness Center all year round. Badminton courts are set up and available every day. All currently registered students can enter the gym at no charge.,"sports, badminton, racket, sarkeys"
125,OU Clay Target Club,"All skill levels welcome. We are a clay target shooting club participating in weekly practices including trap, skeet, and sporting clay competitions. Practice is held at a local outdoor gun range","shooting, clay, social, sports"
126,OU Climbing Club,"The OU Climbing Club is dedicated to providing climbing opportunities for OU students at all levels of athleticism and skills, including competitive opportunities through the OU Climbing Team. This includes both indoor and outdoor climbing, engagement with the climbing community, and support for the outdoor environments that make climbing possible.","climb, rock, social, community, sports"
127,OU Cousins,"Through this program, students are matched according to hobbies, majors, and countries of special interest. Each International or exchange student is matched with one or two American students and invited to participate in monthly events.","international, social, bonding, mentor"
128,OU Food Pantry,"The University of Oklahoma Food Pantrys mission is to contribute to the overall health and wellness of the OU campus community by providing free, supplemental food assistance to OU Norman Campus students, faculty and staff.","food, volunteer, social, donations"
129,OU Mens Rugby Club,"Enhance the Student-Athlete Club Experience at Oklahoma University for both Young Men and Young Women by providing the best collegiate coaching and facilities, by competing at the highest level of National and International competition, by providing scholarships, and by supporting the athletes and social members academically","sports, rugby, social, competitive"
130,OU Mens Ultimate Frisbee Club,the Oklahoma Apes of Wrath are dedicated to representing the University of Oklahoma to the best of our abilities as we travel across the region competing in Ultimate Frisbee tournaments. We practice Monday and Friday 6-8pm on the south side of the Intramural Fields. All skill levels welcome.,"sports, social, competitive, frisbee"
